yuji 床前明月光
dpuy 古之善为道者微妙玄通深不可识
fkgp 夫唯不可识故强为之容
ycii 孰能浊以静之徐清
ycpt 孰能安以动之徐生
whue 保此道者不欲盈
fkgd 夫唯不盈故能蔽而新成
ghst 致虚极守静笃
dtut 万物并作吾以观复
ftas 夫物芸芸各复归其根
jsjw 归根曰静静曰复命
twjj 复命曰常知常曰明
gtiq 不知常妄作凶
tipw 知常容容乃公
wewg 公乃全全乃天
geug 天乃道道乃久没身不殆
auwp 其次侮之
wgkg 信不足焉有不信焉
wway 悠兮其贵言
lpqa 国家昏乱有忠臣
xayd 绝巧弃利盗贼无有
hdfn 此三者以为文不足故令有所属
mgrn 见素抱朴少思寡欲绝学无忧
kpgw 唯之与阿相去几何
upgw 善之与恶相去若何
wprl 人之所畏不可不畏
awaf 荒兮其未央哉
wwac 众人熙熙如享太牢如春登台
wwxk 众人皆有余而我独若遗
tjwf 我愚人之心也哉
wwjq 俗人昭昭我独昏昏
wwpu 俗人察察我独闷闷
wwxk 众人皆有以而我独顽且鄙
tqnx 我独异于人而贵食母
btpw 孔德之容惟道是从
upyn 道之为物惟恍惟惚
nwnt 恍兮惚兮其中有物
aoaw 其精甚真其中有信
tweg 自今及古其名不去以阅众甫
gwnf 吾何以知众甫之状哉
mmwe 曲则全枉则直洼则盈
umua 敝则新少则得多则惑
jnca 是以圣人抱一为天下式
gtct 不自矜故长
fkgq 夫唯不争故天下莫能与之争
ywdp 诚全而归之
qytq 希言自然
dsmj 故飘风不终朝骤雨不终日
yyhf 孰为此者
gfit 天地尚不能久而况于人乎
mgrp 同于失者失亦乐得之
adug 其在道也曰余食赘形
tagt 物或恶之故有道者不处
dtit 有物混成先天地生
pwpn 寂兮寥兮独立而不改
mtdx 周行而不殆可以为天地母
ggtd 吾不知其名强字之曰道强为之名曰大
djrr 大曰逝逝曰远远曰反
dudd 故道大天大地大人亦大
fkdg 域中有四大而人居其一焉
wifq 人法地地法天天法道道法自然
tylv 重为轻根静为躁君
jnvt 是以君子终日行不离辎重
kdaq 虽有荣观燕处超然
dwdg 奈何万乘之主而以身轻天下
lmrv 轻则失根躁则失君
uufg 善闭无关楗而不可开
uxfq 善结无绳约而不可解
iuft 常善救物故无弃物
jydj 是谓袭明
guwu 不善人者善人之资
gkau 不贵其师不爱其资
ktdv 虽智大迷是谓要妙
tadi 知其雄守其雌为天下溪
yggq 为天下溪常德不离复归于婴儿
tara 知其白守其黑为天下式
yggs 为天下式常德不忒复归于无极
taaw 知其荣守其辱为天下谷
yggk 为天下谷常德乃足
tjgk 复归于朴朴散则为器
cwep 圣人用之则为官长故大制不割
uwbn 将欲取天下而为之吾见其不得已
ggpb 天下神器不可为也不可执也
yfmp 为者败之执者失之
frdr 无执故无失
jncd 是以圣人去甚去奢去泰
nuwg 以道佐人主者不以兵强天下
agvf 其事好远
jprg 师之所处荆棘生焉
dppr 大军之后必有凶年
udjx 善有果而已不以取强
jdqc 果而勿矜果而勿伐果而勿骄
jdgx 果而不得已果而勿强
tumn 物壮则老是谓不道不道早已
frfk 夫兵者不祥之器
vbnd 君子居则贵左用兵则贵右
rfgk 兵者不祥之器非君子之器
gtnh 不得已而用之恬淡为上
edgw 胜而不美而美之者是乐杀人
fqqc 夫乐杀人者则不可得志于天下矣
fgid 吉事尚左凶事尚右
wupp 偏将军居左上将军居右言以丧礼处之
qwpp 杀人之众以悲哀泣之战胜以丧礼处之
uifq 道常无名
skia 朴虽小天下莫能臣
wgap 侯王若能守之万物将自宾
gfsf 天地相合以降甘露民莫之令而自均
vrdd 始制有名名亦既有
fyug 夫亦将知止知止可以不殆
nupi 譬道之在天下犹川谷之于江海
twfj 知人者智自知者明
ewfl 胜人者有力
tefp 自胜者强知足者富
xtff 强行者有志
graq 不失其所者久
gdgd 死而不亡者寿
duid 大道泛兮其可左右
dtnd 万物恃之以生而不辞功成而不有
yudy 衣养万物而不为主
dtjd 万物归焉而不为主可名为大
naxd 以其终不自为大故能成其大
rdqt 执大象天下往
tdgd 往而不害安平泰
qgqh 乐与饵过客止
upbk 道之出口淡乎其无味
ppgv 视之不足见听之不足闻用之不足既
uwbp 将欲取之必故与之
jytj 是谓微明
cxex 柔弱胜刚强
qgsw 鱼不可脱于渊国之利器不可以示人
uify 道常无为而无不为
wgaw 侯王若能守之万物将自化
wdws 化而欲作吾将镇之以无名之朴
fqpw 无名之朴夫亦将不欲
gwnp 不欲以静天下将自定
gtgt 下德不失德是以无德
gtfy 下德无为而有以为
hyyy 上义为之而有以为
hpyy 上礼为之而莫之应
mrnp 则攘臂而扔之
druw 故失道而后德失德而后仁
rwdp 失仁而后义失义而后礼
fpfu 夫礼者忠信之薄而乱之首
uyfv 前识者道之华而愚之始
tapw 处其实不居其华
dfth 故去彼取此
aptf 昔之得一者
wgth 侯王得一以为天下贞
wgfk 侯王无以贞将恐蹶
dkna 故贵以贱为本高以下为基
hdna 此非以贱为本邪
dgii 故致誉无誉
ggdf 天下万物生于有有生于无
gfup 下士闻道大笑之
gtgu 不笑不足以为道
dvyp 故建言有之
fkud 夫唯道善贷且成
utgt 道生一一生二二生三三生万物
dtqt 万物负阴而抱阳冲气以为和
dtar 故物或损之而益或益之而损
wprp 人之所教我亦教之
xifw 强梁者不得其死吾将以为教父
ggpj 天下之至柔驰骋天下之至坚
fdtu 无有入无间吾是以知无为之有益
gypp 不言之教无为之益天下希及之
qgtu 名与身孰亲
tgwq 身与货孰多
tgyu 得与亡孰病
dtkq 故知足不辱知止不殆可以长久
ddau 大成若缺其用不弊
deap 大盈若冲其用不穷
dfay 大直若屈大巧若拙大辩若讷
gekr 静胜躁寒胜热
igyg 清静为天下正
ggdo 天下有道却走马以粪
ggfu 天下无道戎马生于郊
dtkc 故知足之足常足矣
abxi 其出弥远其知弥少
jncd 是以圣人不行而知不见而明不为而成
yijr 为学日益为道日损
rpcy 损之又损以至于无为
fydy 无为而无不为
bggg 取天下常以无事及其有事不足以取天下
cwin 圣人常无心以百姓心为心
cwdn 圣人在天下歙歙焉为天下浑其心
dvxp 百姓皆注其耳目圣人皆孩之
bttg 出生入死
wptd 人之生动之于死地亦十有三
fwdd 夫何故以其生之厚
mfrv 兕无所投其角虎无所用其爪兵无所容其刃
fwdf 夫何故以其无死地
utpp 道生之德畜之
tgpp 物形之势成之
jndt 是以万物莫不尊道而贵德
upuq 道之尊德之贵夫莫之命而常自然
tdgn 生而不有为而不恃
tdgp 长而不宰
jyyt 是谓玄德
ggdx 天下有始以为天下母
vtab 既得其母以知其子
tpag 复守其母没身不殆
paua 塞其兑闭其门终身不勤
gauf 开其兑济其事终身不救
mijx 见小曰明守柔曰强
eaij 用其光复归其明
wtwl 使我介然有知行于大道唯施是畏
duat 大道甚夷而人好径
eyew 服文采带利剑厌饮食
dubf 非道也哉
uvfr 善建者不拔
urfl 善抱者不脱子孙以祭祀不辍
wpgu 修之于天下其德乃普
gwnf 吾何以知天下然哉
gjgr 毒虫不螫猛兽不据攫鸟不搏
mxtl 骨弱筋柔而握固
fttb 未知牝牡之合而峻作精之至也
xjkb 终日号而不嗄和之至也
utjp 益生曰祥
nwrx 心使气曰强
tumn 物壮则老谓之不道不道早已
tfgt 知者不言言者不知
raqx 挫其锐解其纷
gstm 不可得而贵不可得而贱
dygk 故为天下贵
ngig 以正治国以奇用兵以无事取天下
gwnf 吾何以知其然哉
iwid 法令滋彰盗贼多有
dcwf 故圣人云
tfws 我无欲而民自朴
agpr 其政察察其民缺缺
pwpw 祸兮福之所倚福兮祸之所伏
ytas 孰知其极
afgb 其无正也
gtyv 正复为奇善复为妖
wpoq 人之迷其日固久
jnci 是以圣人方而不割廉而不刿直而不肆光而不耀
iwgf 治人事天莫若啬
jyiu 是谓深根固柢长生久视之道
idlq 治大国若烹小鲜
dapw 非其神不伤人圣人亦不伤人
fggg 夫两不相伤故德交归焉
ddft 大邦者下流天下之交天下之牝
ting 牝常以静胜牡以静为下
idnd 小邦以下大邦则取大邦
dagb 故或下以取或下而取
ddgw 大邦不过欲兼畜人
idgw 小邦不过欲入事人
fgfg 夫两者各得所欲大者宜为下
ufdt 道者万物之奥
uwpw 善人之宝不善人之所保
uysw 美言可以市尊美行可以加人
wpgd 人之不善何弃之有
dugw 故立天子置三公
kdru 虽有拱璧以先驷马不如坐进此道
dprw 古之所以贵此道者何
gjfa 不曰求以得有罪以免邪
yfyk 为无为事无事味无味
ggcj 天下难事必作于易
ggdx 天下大事必作于细
jncd 是以圣人终不为大故能成其大
flyc 夫轻诺必寡信多易必多难
jncc 是以圣人犹难之故终无难矣
apjy 其安易持其未兆易谋
aeja 其脆易泮其微易散
ypgt 为之于未有治之于未乱
tjpg 千里之行始于足下
npwp 民之从事常于几成而败之
nxvg 慎终如始则无败事
dpup 古之善为道者非以明民将以愚之
npcq 民之难治以其智多
gntp 不以智治国国之福
thga 知此两者亦稽式
iipf 江海之所以能为百谷王者
naug 以其善下之故能为百谷王
wtnp 欲先民必以身后之
jncp 是以圣人处上而民不重处前而民不害
jngd 是以天下乐推而不厌
nagq 以其不争故天下莫能与之争
ggxi 天下皆谓我道大似不肖
fkdi 夫唯大故似不肖
aiqf 若肖久矣其细也夫
tddp 我有三宝持而保之
gjuw 一曰慈二曰俭
djgt 三曰不敢为天下先
gnyt 不敢为天下先故能成器长
funl 夫慈以战则胜以守则固
gufp 天将救之以慈卫之
uewg 善用人者为之下
jygt 是谓不争之德
jyel 是谓用人之力
jyss 是谓配天古之极
erdy 用兵有言
gnfn 不敢进寸而退尺
padp 祸莫大于轻敌轻敌几丧吾宝
drrc 故抗兵相若哀者胜矣
gyat 吾言甚易知甚易行
ggat 天下莫能知莫能行
ydpv 言有宗事有君
fkft 夫唯无知是以不我知
ttfk 知我者希则我者贵
jncg 是以圣人被褐而怀玉
gttb 不知知病也
cwgu 圣人不病以其病病
fkuu 夫唯病病是以不病
nglg 民不畏威则大威至
fqat 无狎其所居无厌其所生
fkgd 夫唯不厌是以不厌
tegk 自爱不自贵
cgni 勇于敢则杀勇于不敢则活
hgfp 此两者或利或害
gprd 天之所恶孰知其故
gmnr 天网恢恢疏而不失
nglp 民不畏死奈何以死惧之
awnf 若使民常畏死而为奇者
gtrn 吾得执而杀之孰敢
idnq 常有司杀者杀
npqq 民之饥以其上食税之多是以饥
npci 民之难治以其上之有为是以难治
nplg 民之轻死以其上求生之厚是以轻死
fkft 夫唯无以生为者是贤于贵生
wptx 人之生也柔弱其死也坚强
asps 草木之生也柔脆其死也枯槁
djxt 故坚强者死之徒柔弱者生之徒
jnrr 是以兵强则灭木强则折
xdth 强大处下柔弱处上
gpug 天之道其犹张弓欤
dwfp 有余者损之不足者补之
gpuk 天之道损有余而补不足
wpuw 人之道则不然损不足以奉有余
ycdf 孰能有余以奉天下唯有道者
jncj 是以圣人为而不恃功成而不处其不欲见贤
xpem 弱之胜强柔之胜刚
ggat 天下莫不知莫能行
jncf 是以圣人云
elgg 受国不祥是为天下王
gyar 正言若反
rqnu 报怨以德安可以为善
jncw 是以圣人执左契而不责于人
dtnt 有德司契无德司彻
gufw 天道无亲常与善人
ilpn 小国寡民
wntt 使民重死而不远徙
kdtp 虽有舟舆无所乘之
kdlp 虽有甲兵无所陈之
wntp 使民复结绳而用之
aaww 甘其食美其服安其居乐其俗
wlsu 邻国相望鸡犬之声相闻
ngfg 民至老死不相往来
wygw 信言不美美言不信
ufgu 善者不辩辩者不善
tfgt 知者不博博者不知
cwgd 圣人不积既以为人己愈有
vngq 既以与人己愈多
cwpq 圣人之道为而不争
utgf 道生一一生二
ftdt 二生三三生万物
wifg 人法地地法天
giuq 天法道道法自然
fkgq 夫唯不争
dggq 故天下莫能与之争
twft 知人者智
ttfj 自知者明
tefx 自胜者强
tkfp 知足者富
tjpt 千里之行
vgkg 始于足下
wrps 合抱之木
tgyg 生于毫末
vnpc 九层之台
fglf 起于累土
pwpw 祸兮福之所倚
pwpw 福兮祸之所伏
dfst 有无相生
cjsd 难易相成
ttsg 长短相形
ygse 高下相盈
gfgw 天地不仁
