tntt 知己知彼
qnwl 逸民伯夷叔齐虞仲夷逸朱张柳下惠少连
tmns 我则异于是无可无不可
mdwc 周有八士伯达伯适仲突仲忽叔夜叔夏季随季騧
gcyy 焉能为亡
vbuc 君子尊贤而容众嘉善而矜不能
tpdp 我之大贤与于人何所不容
tpgb 我之不贤与人将拒我如之何其拒人也
wdrb 信而后谏未信则以为谤己也
rgbw 抑末也本之则无如之何
vbpg 君子之道孰先传焉
yrwg 孰后倦焉
nyac 譬诸草木区以别矣
vbpb 君子之道焉可诬也
dvdt 有始有卒者其惟圣人乎
agnb 其不改父之臣与父之政是难能也
bqwb 孟氏使阳肤为士师问于曾子
vtaf 如得其情则哀矜而勿喜
jnvg 是以君子恶居下流天下之恶皆归焉
fbwp 过也人皆见之更也人皆仰之
dywd 而亦何常师之有
fbpp 夫子之墙数仞不得其门而入不见宗庙之美百官之富
taut 得其门者或寡矣夫子之云不亦宜乎
wnjg 仲尼日月也无得而逾焉
wkwt 人虽欲自绝其何伤于日月乎
qmab 多见其不知量也
atbb 其生也荣其死也哀如之何其可及也
qegk 尔舜天之历数在尔躬允执其中
lilx 四海困穷天禄永终
etdy 朕躬有罪无以万方
dydt 万方有罪罪在朕躬
dvdw 百姓有过在予一人
iglg 兴灭国继绝世举逸民天下之民归心焉
rtnw 所重民食丧祭
pmty 宽则得众信则民任焉敏则有功公则说
rsaq 择可劳而劳之又谁怨
vbft 君子无众寡无小大无敢慢斯不亦泰而不骄乎
gapj 不戒视成谓之暴
nwgm 慢令致期谓之贼
qpgn 犹之与人也出纳之吝谓之有司
gtpb 不知礼无以立也
gtyb 不知言无以知人也
idjp 学而时习之
iddu 温故而知新
dwtj 三人行必有我师
idgm 学而不思则罔
ldgg 思而不学则殆
yntj 言必行行必果
vbfa 君子坦荡荡
iwtd 小人长戚戚
tykh 和为贵
tpyp 知之为知之
gtyt 不知为不知
mjly 见贤思齐
tdvi 敏而好学
gbgu 不耻下问
dfdu 三十而立
lfga 四十不惑
gftw 五十知天命
ufbk 六十耳顺
detg 有朋自远方来
gyqt 不亦乐乎
idgd 学而不厌
ywgw 诲人不倦
wtuf 任重道远
gdrn 死而后已
dldt 三思而后行
awug 工欲善其事
nttk 必先利其器
wffh 人无远虑
ndrn 必有近忧
vbtm 君子和而不同
iwmt 小人同而不和
fuuc 朝闻道夕死可矣
jsvv 是可忍孰不可忍
fqge 过犹不及
gdaw 不在其位
gyag 不谋其政
lipu 四海之内皆兄弟
ownt 为人民服务
ieys 没有调查就没有发言权
garh 一切反动派都是纸老虎
tlgu 自力更生艰苦奋斗
yhwr 谦虚使人进步骄傲使人落后
hlhw 战略上藐视敌人战术上重视敌人
psqs 农村包围城市武装夺取政权
irfw 不打无准备之仗
putg 宜将剩勇追穷寇不可沽名学霸王
gaec 天若有情天亦老人间正道是沧桑
duif 雄关漫道真如铁而今迈步从头越
wiui 会当凌绝顶一览众山小
imdw 海内存知己天涯若比邻
dhiq 春眠不觉晓处处闻啼鸟
joot 野火烧不尽春风吹又生
ytta 谁知盘中餐粒粒皆辛苦
gwag 两个黄鹂鸣翠柳一行白鹭上青天
bmfi 孤帆远影碧空尽唯见长江天际流
dmcg 春风又绿江南岸明月何时照我还
iyyk 不识庐山真面目只缘身在此山中
mtis 山重水复疑无路柳暗花明又一村
ibuf 洛阳亲友如相问一片冰心在玉壶
aauw 葡萄美酒夜光杯欲饮琵琶马上催
iuid 少壮不努力老大徒伤悲
nmet 书山有路勤为径学海无涯苦作舟
atua 莫等闲白了少年头空悲切
tggq 先天下之忧而忧后天下之乐而乐
afgq 落霞与孤鹜齐飞秋水共长天一色
mpis 山穷水尽疑无路柳暗花明又一村
ttrp 竹篮打水一场空
kckb 哑巴吃黄连有苦说不出
wwfc 八仙过海各显神通
udwq 姜太公钓鱼愿者上钩
aygy 芝麻开花节节高
qkdd 猫哭耗子假慈悲
avqn 黄鼠狼给鸡拜年没安好心
cnju 鸡蛋里挑骨头
fgwg 十五个吊桶打水七上八下
rddy 打破砂锅问到底
igag 不到黄河心不死
ptrh 初生牛犊不怕虎
pset 宰相肚里能撑船
qkkn 狗咬吕洞宾不识好人心
wniq 人心不足蛇吞象
infi 当局者迷旁观者清
qqgw 解铃还须系铃人
hffg 此地无银三百两
pwrp 塞翁失马焉知非福
yupj 亡羊补牢为时不晚
giww 一不做二不休
gtcm 一箭双雕
gdfq 一石二鸟
aljf 东边日出西边雨
